,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,Unnamed: 0,VOLUME,WORT STRENGTH
0,5.2 g/l,,13.0%,,,Red wine,Smooth & fruity,metal screw cap,Italy,0.1 €,80.0 Kcal / 100ml,"Cabernet Sauvignon,Merlot,Syrah","party wine,hot food,pork,buffet,metal screw cap",Sold in gift packaging,Asio Otus,bottle,16.79 EUR,Priocca da MGM Mondo del Vino,909977,,,general selection,19.0 g/l,Stella Wines,"full-bodied,medium tannic,medium-dry,lingonberry jam notes,ripe cranberry notes,blackberry notes,slightly spicy",0,0.75,
1,4.2 g/l,,15.0%,,,Dessert wine & other fortified wines,Flavoured fortified wine,plastic closure,Finland,0.2 €,130.0 Kcal / 100ml,,party wine,,Doris plastic bottle,plastic bottle,9.89 EUR,Pernod Ricard Finland,326657,,,general selection,100.0 g/l,Pernod Ricard,"orange-yellow,sweet,apricot aroma,caramel notes",0,0.75,
2,4.2 g/l,,15.0%,,,Dessert wine & other fortified wines,Flavoured fortified wine,plastic closure,Finland,0.2 €,130.0 Kcal / 100ml,,party wine,,Doris plastic bottle,plastic bottle,9.89 EUR,Pernod Ricard Finland,326657,,,general selection,100.0 g/l,Pernod Ricard,"orange-yellow,sweet,apricot aroma,caramel notes",0,0.75,
3,5.0 g/l,,13.5%,,,Red wine,Luscious & jammy,,Spain,,80.0 Kcal / 100ml,Tempranillo,"pork,mild sausages,beef,casseroles",,Vinã Albali Gran Selección Tempranillo 2016 bag-in-box,bag-in-box,9.99 EUR,Félix Solís,430158,Valdepeñas,DO Valdepeñas,general selection,2.0 g/l,Servaali,"medium-bodied,tannic,redcurrant notes,dark cherry notes,spicy,light mocha notes,hint of oak",0,3.0,
4,5.7 g/l,,0.5%,,,Non-alcoholic,Red wine,metal screw cap,Australia,0.1 €,20.0 Kcal / 100ml,,"metal screw cap,lighter glass bottle",,Jacob's Creek UnVined Shiraz 2017,bottle,9.17 EUR,Jacob's Creek Wines,455017,,,general selection,45.0 g/l,Pernod Ricard,"richly red,medium full bodied,medium tannic,medium-sweet,ripe cranberry notes,blackcurrant notes,light oak notes",0,0.75,
5,6.3 g/l,,12.5%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,80.0 Kcal / 100ml,,"aperitif,salads, vegetarian food,seafood,pasta and pizza",,Collet Art Deco Champagne Brut,bottle,62.25 EUR,Collet,946847,Champagne,AC Champagne,sale-to-order selection,11.0 g/l,Arvid Nordquist Finland,"brut,acidic,fruity,citrus notes,toasted,roasted,baked",0,0.75,
6,4.6 g/l,,14.0%,,,Rosé wine,Dry,glass stopper,France,,80.0 Kcal / 100ml,,"fatty fish,salads, vegetarian food,savoury snacks,clams, mussels, scallops and oysters,organic",,Château Mira Luna 2015,bottle,30.67 EUR,Château Mira Luna,422707,,AOP Coteaux Varois en Provence,limited quantity product,1.0 g/l,Domaine Wines,"dry,acidic,citrus notes,wild berry notes,mineral notes,minerally,nuanced,elegant,fresh,refreshing",0,0.75,
7,4.6 g/l,,14.0%,,,Rosé wine,Dry,glass stopper,France,,80.0 Kcal / 100ml,,"fatty fish,salads, vegetarian food,savoury snacks,clams, mussels, scallops and oysters,organic",,Château Mira Luna 2015,bottle,30.67 EUR,Château Mira Luna,422707,,AOP Coteaux Varois en Provence,limited quantity product,1.0 g/l,Domaine Wines,"dry,acidic,citrus notes,wild berry notes,mineral notes,minerally,nuanced,elegant,fresh,refreshing",0,0.75,
8,,,47.0%,,,Gin and other spirits,Aquavit,plastic closure,Denmark,,270.0 Kcal / 100ml,,,,Aalborg Jule Akvavit 2015,bottle,68.16 EUR,De Danske Spritfabrikker,955627,,,sale-to-order selection,5.0 g/l,Arcus Finland Oy,"colourless,sharp,spicy,herbal notes",0,0.7,
9,,,37.5%,,,Rum,White rum,metal screw cap,Puerto Rico,0.1 €,210.0 Kcal / 100ml,,metal screw cap,,Bacardi Carta Blanca,bottle,38.27 EUR,Bacardi,001657,,,general selection,,Sinebrychoff,"colourless,medium full bodied,dry,sharp,sugar cane notes,light champignon notes",0,0.7,
10,,,21.0%,,,Liqueur & bitter,Berry liqueurs,metal screw cap,Finland,,270.0 Kcal / 100ml,,metal screw cap,,Ollinmäen Puolukkalikööriä,bottle,31.74 EUR,Ollinmäen Viinitila,927374,,,sale-to-order selection,350.0 g/l,Ollinmäen Viinitila Oy,"brownish-red,medium full bodied,lingonberry notes",0,0.35,
11,6.1 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,,70.0 Kcal / 100ml,,"aperitif,lean fish,clams, mussels, scallops and oysters,party wine",Sold in gift packaging,Nicolas Feuillatte Réserve Exclusive Brut Magnum,bottle,57.7 EUR,Nicolas Feuillatte,901298,Champagne,AC Champagne,sale-to-order selection,11.0 g/l,Norex Spirits Oy Ab,"brut,acidic,fruity,citrus notes,toasted,roasted,baked",0,1.5,
12,6.3 g/l,,15.5%,,,Red wine,Nuanced & developed,natural cork,Spain,,90.0 Kcal / 100ml,"Grenache Noir,Syrah,Merlot","game,beef,casseroles,mild cheeses",,Genium Celler Tinto 2007,bottle,40.52 EUR,Genium Celler,915047,Catalonia,DOCa Priorat,sale-to-order selection,1.0 g/l,Viinitalli,"full-bodied,tannic,dark cherry notes,blackberry notes,leather notes",0,0.75,
13,6.9 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,Barbera,"beef,casseroles,game,strong cheeses",,Fontanafredda Papagena Barbera d'Alba Superiore 2013,bottle,34.53 EUR,Fontanafredda,957767,Piedmont,DOC Barbera d'Alba Superiore,sale-to-order selection,,Winestate,"medium-bodied,medium tannic,cherry notes,ripe plum notes,spicy",0,0.75,
14,6.1 g/l,,12.5%,,,Rosé wine,Dry,metal screw cap,Germany,0.1 €,70.0 Kcal / 100ml,Pinot Noir,"chicken, turkey,fatty fish,salads, vegetarian food,party wine,metal screw cap",,That's Neiss Pinot Noir Rosé Trocken 2018,bottle,19.85 EUR,Weingut Ludi Neiss,419677,,QbA Pfalz,general selection,5.0 g/l,Winestate,"dry,acidic,wild raspberry notes,redcurrant notes,ripe cranberry notes,rhubarb notes",0,0.75,
15,,,9.0%,"speciality
(barley wine)",25.0 EBU,Beer,Speciality,crown cap,Scotland,,90.0 Kcal / 100ml,,"strong cheeses,meditation beverage,chocolate desserts,casseroles,suitable for vegans",,Brewdog Al Abordaje!,bottle,15.03 EUR,BrewDog,904204,,,sale-to-order selection,,Diamond Beverages,"mahogany-brown,full-bodied,medium hopped,toffee notes,malty,fruit cake notes",0,0.33,25.3 °P
16,5.1 g/l,,13.0%,,,Red wine,Luscious & jammy,metal screw cap,Portugal,0.1 €,80.0 Kcal / 100ml,"Castelão,Tinta Roriz,Touriga Nacional,Syrah,Alicante Bouschet","buffet,pasta and pizza,pork,party wine,metal screw cap",,Quinta da Espiga 2016,bottle,10.51 EUR,Casa Santos Lima,422137,,Vinho Regional Lisboa,general selection,7.0 g/l,Cisa Drinks,"medium-bodied,tannic,cherry jam notes,blackberry notes,spicy,light vanilla notes,hint of chocolate",0,0.75,
17,,,40.0%,,,Vodka & spirit,Vodka,metal screw cap,Finland,0.1 €,230.0 Kcal / 100ml,,metal screw cap,,Puolustuslaitos Viinaa,bottle,31.7 EUR,Lignell & Piispanen,122766,,,general selection,3.0 g/l,Bpf-Beverage Partners Finland,"colourless,dry,soft,smooth,neutral",0,0.5,
18,,,40.0%,,,Cognacs,Cognac vs,natural cork,France,0.1 €,230.0 Kcal / 100ml,,,,Bache Gabrielsen 3 Kors,bottle,47.71 EUR,Bache-Gabrielsen,927507,,AC Cognac,general selection,12.0 g/l,Nordalco,"amber-yellow,medium full bodied,youngish,sharp,sweet fruit notes,spicy",0,0.7,
19,6.3 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,70.0 Kcal / 100ml,,"aperitif,seafood,tapas and antipasti,clams, mussels, scallops and oysters",,Duval-Leroy Rosé Champagne Brut,bottle,52.99 EUR,Duval-Leroy,506894,Champagne,AC Champagne,general selection,10.0 g/l,Fine Brands,"brut,acidic,wild strawberry notes,raspberry notes,mineral notes,minerally,light toast notes,nuanced",0,0.375,
20,5.0 g/l,,13.0%,,,White wine,Generous & toasty,natural cork,Australia,0.1 €,80.0 Kcal / 100ml,Chardonnay,"pasta and pizza,chicken, turkey,pork,party wine",,19 Crimes Chardonnay 2018,bottle,16.69 EUR,Treasury Wine Estates,953506,Others,South Eastern Australia,general selection,11.0 g/l,Wennerco,"medium dry,acidic,yellow plum notes,honey melon notes,ripe citrus notes,creamy,light herb notes",0,0.75,
21,,,7.4%,"stout & porter
(oatmeal stout)",31.0 EBU,Beer,Stout & porter,crown cap,England,0.1 €,60.0 Kcal / 100ml,,"party wine,chocolate desserts,suitable for vegans",,Arbor Breakfast Stout,bottle,12.97 EUR,Arbor Ales,914991,,,sale-to-order selection,,Servaali,"black,extra full-bodied,with a rich head,strongly hopped,espresso-like,chocolaty",0,0.33,17.1 °P
22,6.2 g/l,,14.5%,,,Red wine,Luscious & jammy,metal screw cap,Australia,,80.0 Kcal / 100ml,Shiraz,"mild cheeses,beef,grilled food,pork,metal screw cap",,Chalk Hill Luna Shiraz 2015,bottle,21.23 EUR,Chalk Hill Wines,489267,South Australia,McLaren Vale,limited quantity product,2.0 g/l,Thirsty Bear,"full-bodied,tannic,blackberry jam notes,ripe plum notes,hint of blueberry,toasted,roasted,baked",0,0.75,
23,3.7 g/l,Lower-alcohol wine,6.5%,,,Sparkling wine & champagne,Mellow & sweet,natural cork,France,,70.0 Kcal / 100ml,,"sweet desserts,berries and fruits",,Antech Blanquette Méthode Ancestrale Fruité Doux,bottle,25.6 EUR,Maison Antech,939097,,AOP Blanquette de Limoux,sale-to-order selection,75.0 g/l,Tampereen Viinitukku,"sweet,medium acidic,apple notes,aromatic,nuanced",0,0.75,
24,7.1 g/l,Dessert wine,12.5%,,,Dessert wine & other fortified wines,Dessert wines,natural cork,Italy,0.1 €,130.0 Kcal / 100ml,"Corvina,Corvinone,Rondinella","sweet desserts,strong cheeses,chocolate desserts,meditation beverage",,Domini Veneti Recioto della Valpolicella 2016,bottle,47.76 EUR,Cantina Valpolicella Negrar,439346,The Veneto,DOCG Recioto della Valpolicella Classico,general selection,140.0 g/l,Social Wines,"full-bodied,medium tannic,sweet,fig notes,apple core notes,raisin notes",0,0.5,
25,5.6 g/l,,15.0%,,,Red wine,Nuanced & developed,natural cork,Italy,0.1 €,90.0 Kcal / 100ml,"Corvina,Rondinella,Molinara","mutton, lamb,beef,liver,meditation beverage",,Masi Costasera Amarone Classico 2013,bottle,53.19 EUR,Masi Agricola,455887,The Veneto,DOCG Amarone della Valpolicella Classico,general selection,7.0 g/l,Winestate,"full-bodied,tannic,fig notes,plum jam notes,dark cherry notes,light raisin notes,chocolaty,hint of thyme,warm",0,0.75,
26,6.0 g/l,,14.5%,,,Red wine,Robust & powerful,natural cork,South Africa,0.1 €,80.0 Kcal / 100ml,"Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot","grilled food,beef,pork,mutton, lamb",,Nederburg The Brew Master 2015,bottle,32.51 EUR,Nederburg,945437,Others,WO Western Cape,sale-to-order selection,3.0 g/l,Alpha Beverages Oy,"full-bodied,tannic,berry notes,spicy,oak notes",0,0.75,
27,,,15.0%,,,Dessert wine & other fortified wines,Mulled wine,metal screw cap,Sweden,0.1 €,150.0 Kcal / 100ml,,metal screw cap,,Dufvenkrooks Mint & Choklad,bottle,14.52 EUR,Spirit of Sweden,903784,,,sale-to-order selection,150.0 g/l,Bevsmart,"dark red,mint aroma,chocolaty,mulled wine flavour",0,0.75,
28,6.7 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,,70.0 Kcal / 100ml,Chardonnay,"lean fish,seafood,aperitif,meditation beverage",,Mumm Blanc de Blancs de Cramant Champagne Brut,bottle,122.53 EUR,G.H. Mumm & Cie,914867,Champagne,AC Champagne,sale-to-order selection,6.0 g/l,Pernod Ricard Finland,"brut,medium acidic,citrus notes,mineral notes,minerally,elegant",0,0.75,
29,6.5 g/l,,12.5%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,0.1 €,70.0 Kcal / 100ml,"Chardonnay,Pinot Meunier,Pinot Noir","aperitif,seafood,lean fish,clams, mussels, scallops and oysters",,Louis Massing Champagne Brut,bottle,33.19 EUR,Champagne Deregard Massing,924757,Champagne,AC Champagne,sale-to-order selection,6.0 g/l,Domaine Wines Finland,"brut,acidic,yellow plum notes,citrus notes,minerally",0,0.75,
30,,,40.0%,,,Cognacs,Cognac extra,natural cork,France,,230.0 Kcal / 100ml,,,Sold in gift packaging,Hardy Fine Champagne XO,bottle,93.43 EUR,Hardy Cognac,951947,,AC Cognac Fine Champagne,sale-to-order selection,5.0 g/l,Social Wines,"amber-brown,full-bodied,rather aged,soft,smooth,date notes,cigar box notes,flowery",0,0.7,
31,,,0.0%,,,Non-alcoholic,"Water, juice and other",plastic closure,Finland,0.1 €,,,,,Spring Aqua Lähdevesi plastic bottle,plastic bottle,4.36 EUR,Finn Spring,948304,,,sale-to-order selection,,Finn Spring Oy,"colourless,dry,neutral",0,0.33,
32,5.7 g/l,,12.5%,,,Red wine,Nuanced & developed,natural cork,France,,70.0 Kcal / 100ml,Pinot Noir,"mutton, lamb,game,mild cheeses,meditation beverage",,Louis Jadot Nuits Saint Georges 2013,bottle,69.97 EUR,Maison Louis Jadot,948617,Burgundy,AC Nuits-Saint-Georges,sale-to-order selection,1.0 g/l,Norex Selected Brands,"medium-bodied,medium tannic,blackberry notes,dark cherry notes,spicy",0,0.75,
33,,,5.6%,"ale
(ipa)",36.0 EBU,Beer,Ale,crown cap,Scotland,0.1 €,50.0 Kcal / 100ml,,"party wine,blini,chicken, turkey,fatty fish,suitable for vegans",,BrewDog Punk IPA,bottle,9.94 EUR,BrewDog,798124,,,general selection,,Diamond Beer B.C.,"golden-yellow,medium-bodied,cloudy,strongly hopped,citrus notes,grapefruity,fruity,flowery,fresh,refreshing",0,0.33,13.1 °P
34,3.3 g/l,Low-alcohol cider,4.0%,,,Cider,French style apple cider,crown cap,France,0.1 €,40.0 Kcal / 100ml,,"oriental food,party wine,strong cheeses",,Cidraie Original,bottle,9.36 EUR,C.S.R.,789564,,,general selection,45.0 g/l,Pernod Ricard,"medium dry,golden-yellow,medium acidic,apple jam notes,ripe citrus notes,light cinnamon notes",0,0.33,
35,4.9 g/l,,13.0%,,,Red wine,Nuanced & developed,natural cork,Italy,0.1 €,70.0 Kcal / 100ml,Sangiovese,"chicken, turkey,pork,pasta and pizza,beef,lighter glass bottle",,Conti Serristori Sangiovese di Toscana 2017,bottle,13.17 EUR,Conti Serristori,949667,Tuscany,IGT Sangiovese di Toscana,sale-to-order selection,1.0 g/l,Servaali,"medium-bodied,medium tannic,sour cherry,blackberry notes,spicy",0,0.75,
36,7.6 g/l,,12.0%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,France,,70.0 Kcal / 100ml,Meunier,"aperitif,fatty fish,mushrooms,game birds",,Salmon Collection Meunier Champagne Brut,bottle,61.32 EUR,Champagne Salmon,554867,Champagne,AC Champagne,limited quantity product,7.0 g/l,Nordalco,"brut,acidic,ripe citrus notes,cinnamon-apple notes,mineral notes,minerally,light marzipan notes,nuanced",0,0.75,
37,6.2 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,South Africa,,70.0 Kcal / 100ml,Syrah,"blini,aperitif,sushi,seafood",,Silverthorn The Genie Rosé Brut,bottle,38.77 EUR,Silverthorn,900637,,Methode Cap Classique,sale-to-order selection,5.0 g/l,Viinitie,"brut,acidic,berry notes,aromatic,nuanced,rosé",0,0.75,
38,4.4 g/l,,13.0%,,,White wine,Crisp & fruity,metal screw cap,Spain,0.1 €,70.0 Kcal / 100ml,"Chardonnay,Sauvignon Blanc","salads, vegetarian food,tapas and antipasti,pasta and pizza,chicken, turkey,metal screw cap,organic,biodynamic,suitable for vegans",,Dominio de Punctum Chardonnay Selección 2016,bottle,15.85 EUR,Dominio de Punctum,958857,Others,Vino de la Tierra de Castilla,general selection,3.0 g/l,Winestate,"dry,medium acidic,apple notes,tropical fruit notes,spicy,slightly baked",0,0.75,
