,Unnamed: 0,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,VOLUME,WORT STRENGTH
0,0,,,12.0%,,,Sparkling wine & champagne,Generous & toasty,natural cork,Spain,,70.0 Kcal / 100ml,,"meditation beverage,fatty fish,blini,sushi,organic",,Turó d'En Mota de Recaredo Cava Brut Nature 2005,bottle,199.4 EUR,Recaredo Mata Casanovas,592707,,DO Cava,limited quantity product,,Arcus Finland,"brut,very acidic,grapefruity,cinnamon-apple notes,mineral notes,minerally,spicy,nuanced,elegant",0.75,
1,0,5.1 g/l,,12.5%,,,Sparkling wine & champagne,Generous & toasty,natural cork,France,,70.0 Kcal / 100ml,Pinot Noir,"meditation beverage,seafood,fatty fish,game birds",Sold in gift packaging,Dom Pérignon Rosé Champagne Brut 2005,bottle,498.47 EUR,Moët & Chandon,561887,Champagne,AC Champagne,limited quantity product,5.0 g/l,Moet Hennessy Suomi,"brut,acidic,citrus notes,raspberry notes,hint of arctic bramble,mineral notes,minerally,brioche notes,balanced,elegant",0.75,
2,0,6.7 g/l,,11.5%,,,White wine,Crisp & fruity,metal screw cap,Germany,0.1 €,70.0 Kcal / 100ml,Riesling,"seafood,blini,lean fish,salads, vegetarian food,metal screw cap",,Villa Huesgen by the glass Riesling 2018,bottle,17.99 EUR,Huesgen,931747,Mosel,Qualitätswein Mosel,general selection,3.0 g/l,Astra Wines,"dry,acidic,green apple notes,whitecurrant notes,citrus notes,light sorrel notes,flowery,minerally",0.75,
3,0,,,42.0%,,,Liqueur & bitter,Herbal liquers,metal screw cap,Germany,,300.0 Kcal / 100ml,,metal screw cap,,Killepitsch,bottle,42.59 EUR,Likörfabrik Peter Busch,913717,,,sale-to-order selection,180.0 g/l,Craft & Cask,"brownish-black,herbal notes,spicy",0.7,
4,0,,,46.3%,,,Gin and other spirits,Gin,other closure,Finland,,250.0 Kcal / 100ml,,organic,,Kalevala Small Batch Distilled Gin,bottle,67.6 EUR,Kalevala Distillery,939886,,,sale-to-order selection,,Northern Lights Spirits Oy,"colourless,dry,soft,smooth,gin flavour,juniper berry notes,spicy",0.5,
5,0,5.1 g/l,,13.0%,,,Red wine,Robust & powerful,natural cork,France,,70.0 Kcal / 100ml,"Cabernet Sauvignon,Merlot","meditation beverage,beef,casseroles,grilled food",A wooden transport packaging,Marojallia 2012,bottle,103.07 EUR,Domaines Philippe Porcheron,404647,Bordeaux,AC Margaux,limited quantity product,,Duclot Export,"extra full-bodied,very tannic,boysenberry notes,blueberry notes,dark cherry notes,pencil lead notes,oak notes,long",0.75,
6,0,,Mild alcoholic beverage,21.0%,,,Liqueur & bitter,,plastic closure,Finland,0.2 €,200.0 Kcal / 100ml,,,,Lignell's Cafe Cognac Liqueur plastic bottle,plastic bottle,29.38 EUR,Lignell & Piispanen,223866,,,general selection,200.0 g/l,Lignell & Piispanen,"mahogany-brown,medium full bodied,mocha notes,cognac notes",0.5,
7,0,4.2 g/l,,11.0%,,,Rosé wine,Dry,crown cap,Greece,,60.0 Kcal / 100ml,"Merlot,Syrah,Grenache Noir,Roditis,Savatiano","salads, vegetarian food,party wine,tapas and antipasti,lean fish",,Malamatina Retsina Dry Rose,bottle,12.92 EUR,E. Malamatinas & Son,918874,,Traditional Appellation Retsina,sale-to-order selection,4.0 g/l,E. Gavrielides,"dry,medium acidic,red berry notes,dark cranberry notes,herbal notes",0.5,
8,0,,,10.0%,"stout & porter
(imperial stout)",49.0 EBU,Beer,Stout & porter,crown cap,Finland,0.1 €,80.0 Kcal / 100ml,,"meditation beverage,sweet desserts,chocolate desserts,game",,Mufloni Kauramoottori Imperial Oatmeal Stout,bottle,14.48 EUR,Panimoravintola Beer Hunter's,723924,,,general selection,,Diamond Beer B.C.,"black-brown,extra full-bodied,strongly hopped,toasted malt notes,ripe plum notes,chocolaty,mocha notes,hint of liquorice",0.33,22.6 °P
9,0,,,38.0%,,,Vodka & spirit,Spirit,plastic closure,Finland,0.2 €,220.0 Kcal / 100ml,,,,Puolustuslaitos Leikattua plastic bottle,plastic bottle,32.56 EUR,Puolustuslaitos Beverages,918414,,,sale-to-order selection,9.0 g/l,Beverage Partners Finland,"mahogany-brown,dryish,warm,nuanced,spicy",0.5,
